Run, Time, Lon, Lat, Alt, Azimuth, Gamma, Vmag, Alpha, Roll
1,         0.00000,        -3.00000,        -3.00000,      5000.00000,        -0.00000,        -3.54002,      1000.00000,         0.00000,        -0.00000 
1,         0.11000,        -2.99996,        -2.99901,      4990.17974,         0.05561,        -3.74528,       991.70617,        -0.30250,       -31.35692 
1,         0.20000,        -2.99996,        -2.99821,      4981.79221,         0.21921,        -3.91798,       985.01806,        -0.85395,       -47.51487 
1,         0.30000,        -2.99995,        -2.99733,      4972.09552,         0.48756,        -4.11656,       977.64274,        -1.33238,       -50.85546 
1,         0.40000,        -2.99994,        -2.99646,      4961.98315,         0.79593,        -4.32878,       970.30920,        -1.56801,       -50.44707 
1,         0.50000,        -2.99993,        -2.99559,      4951.43343,         1.11362,        -4.55086,       963.04109,        -1.62499,       -50.09697 
1,         0.60000,        -2.99991,        -2.99473,      4940.43965,         1.42784,        -4.77584,       955.84656,        -1.58155,       -50.02428 
1,         0.70000,        -2.99988,        -2.99387,      4929.00901,         1.73474,        -4.99910,       948.71188,        -1.49509,       -50.02605 
1,         0.80000,        -2.99986,        -2.99303,      4917.15675,         2.03318,        -5.21830,       941.63958,        -1.40066,       -50.03091 
1,         0.90000,        -2.99982,        -2.99219,      4904.90072,         2.32366,        -5.43307,       934.62766,        -1.31482,       -50.03253 
1,         1.00000,        -2.99979,        -2.99135,      4892.25803,         2.60723,        -5.64400,       927.67291,        -1.24290,       -50.03360 
1,         1.10000,        -2.99975,        -2.99053,      4879.24380,         2.88506,        -5.85194,       920.77247,        -1.18477,       -50.03495 
1,         1.20000,        -2.99971,        -2.98971,      4865.87106,         3.15821,        -6.05769,       913.92426,        -1.13825,       -50.03642 
1,         1.30000,        -2.99966,        -2.98890,      4852.15111,         3.42760,        -6.26183,       907.12683,        -1.10085,       -50.03782 
1,         1.40000,        -2.99961,        -2.98809,      4838.09399,         3.69397,        -6.46481,       900.37926,        -1.07050,       -50.03910 
1,         1.50000,        -2.99956,        -2.98729,      4823.70876,         3.95792,        -6.66698,       893.68094,        -1.04564,       -50.04027 
1,         1.60000,        -2.99950,        -2.98650,      4809.00374,         4.21991,        -6.86860,       887.03148,        -1.02513,       -50.04138 
1,         1.70000,        -2.99944,        -2.98572,      4793.98660,         4.48032,        -7.06990,       880.43064,        -1.00818,       -50.04245 
1,         1.80000,        -2.99938,        -2.98494,      4778.66453,         4.73943,        -7.27106,       873.87826,        -0.99419,       -50.04349 
1,         1.90000,        -2.99931,        -2.98417,      4763.04428,         4.99752,        -7.47226,       867.37424,        -0.98269,       -50.04453 
1,         2.00000,        -2.99925,        -2.98340,      4747.13220,         5.25479,        -7.67364,       860.91853,        -0.97330,       -50.04555 
1,         2.11000,        -2.99917,        -2.98257,      4729.29908,         5.53707,        -7.89549,       853.87301,        -0.96503,       -50.04665 
1,         2.21000,        -2.99909,        -2.98182,      4712.79355,         5.79321,        -8.09760,       847.51868,        -0.95909,       -50.04765 
1,         2.31000,        -2.99902,        -2.98108,      4696.01423,         6.04732,        -8.29917,       841.21409,        -0.83501,       -50.03094 
1,         2.41000,        -2.99894,        -2.98034,      4678.98270,         6.26995,        -8.48205,       834.96326,        -0.39145,       -49.98538 
