Run, Time, Lon, Lat, Alt, Azimuth, Gamma, Vmag, Alpha, Roll
0,         0.00000,        -3.00000,        -3.00000,     15000.00000,         0.00000,        -0.00000,       500.00000,         0.00000,         0.00000 
0,         0.01000,        -2.99998,        -2.99995,     14999.99971,        -0.00284,        -0.00464,       499.93701,         0.00102,        -0.04352 
0,         0.02000,        -2.99998,        -2.99991,     14999.99885,        -0.00567,        -0.00928,       499.87407,        -0.00915,        -0.17370 
0,         0.03000,        -2.99998,        -2.99986,     14999.99741,        -0.00851,        -0.01395,       499.81118,        -0.03055,        -0.38991 
0,         0.04000,        -2.99998,        -2.99982,     14999.99539,        -0.01135,        -0.01868,       499.74837,        -0.06331,        -0.69143 
0,         0.05500,        -2.99998,        -2.99975,     14999.99124,        -0.01560,        -0.02594,       499.65432,        -0.13412,        -1.30186 
0,         0.06500,        -2.99998,        -2.99971,     14999.98772,        -0.01844,        -0.03092,       499.59175,        -0.19612,        -1.81291 
0,         0.07500,        -2.99998,        -2.99966,     14999.98357,        -0.02128,        -0.03605,       499.52930,        -0.27029,        -2.40605 
0,         0.08000,        -2.99998,        -2.99964,     14999.98126,        -0.02270,        -0.03867,       499.49812,        -0.31204,        -2.73307 
0,         0.09000,        -2.99998,        -2.99959,     14999.97613,        -0.02552,        -0.04406,       499.43586,        -0.40508,        -3.44729 
0,         0.10000,        -2.99998,        -2.99955,     14999.97033,        -0.02833,        -0.04965,       499.37373,        -0.51116,        -4.24077 
0,         0.11000,        -2.99998,        -2.99950,     14999.96382,        -0.03111,        -0.05548,       499.31173,        -0.63064,        -5.11226 
0,         0.12000,        -2.99998,        -2.99946,     14999.95655,        -0.03376,        -0.06227,       499.24943,        -0.76233,        -6.06049 
0,         0.13000,        -2.99998,        -2.99941,     14999.94832,        -0.03603,        -0.07125,       499.18601,        -0.90039,        -7.08414 
0,         0.14000,        -2.99998,        -2.99937,     14999.93883,        -0.03779,        -0.08258,       499.12123,        -1.03761,        -8.18184 
0,         0.15000,        -2.99998,        -2.99932,     14999.92783,        -0.03901,        -0.09569,       499.05542,        -1.16935,        -9.35218 
0,         0.16000,        -2.99998,        -2.99928,     14999.91512,        -0.03971,        -0.11009,       498.98885,        -1.29245,       -10.59365 
0,         0.17000,        -2.99998,        -2.99923,     14999.90058,        -0.03992,        -0.12528,       498.92181,        -1.40534,       -11.90477 
0,         0.18000,        -2.99998,        -2.99919,     14999.88414,        -0.03971,        -0.14087,       498.85457,        -1.50768,       -13.28406 
0,         0.19000,        -2.99998,        -2.99914,     14999.86576,        -0.03912,        -0.15660,       498.78735,        -1.60004,       -14.73007 
0,         0.20000,        -2.99998,        -2.99910,     14999.84545,        -0.03821,        -0.17225,       498.72030,        -1.68353,       -16.24137 
0,         0.21000,        -2.99998,        -2.99905,     14999.82323,        -0.03701,        -0.18773,       498.65350,        -1.75959,       -17.81656 
0,         0.22000,        -2.99998,        -2.99901,     14999.79911,        -0.03554,        -0.20298,       498.58700,        -1.82975,       -19.45425 
0,         0.23000,        -2.99998,        -2.99896,     14999.77313,        -0.03381,        -0.21800,       498.52081,        -1.89555,       -21.15307 
0,         0.24000,        -2.99998,        -2.99892,     14999.74531,        -0.03181,        -0.23280,       498.45492,        -1.95841,       -22.91166 
0,         0.25000,        -2.99998,        -2.99887,     14999.71569,        -0.02953,        -0.24740,       498.38929,        -2.01959,       -24.72867 
0,         0.26000,        -2.99998,        -2.99883,     14999.68428,        -0.02693,        -0.26187,       498.32391,        -2.08016,       -26.60273 
0,         0.27000,        -2.99998,        -2.99878,     14999.65110,        -0.02399,        -0.27623,       498.25873,        -2.14098,       -28.53245 
0,         0.28000,        -2.99998,        -2.99874,     14999.61616,        -0.02066,        -0.29051,       498.19373,        -2.20282,       -30.51641 
0,         0.29000,        -2.99998,        -2.99869,     14999.57954,        -0.01215,        -0.30254,       498.12879,        -2.26555,       -32.53245 
0,         0.30000,        -2.99998,        -2.99865,     14999.54164,         0.00010,        -0.31265,       498.06619,        -2.32416,       -34.45424 
0,         0.31000,        -2.99998,        -2.99860,     14999.50246,         0.00962,        -0.32309,       498.00358,        -2.37928,       -36.25761 
0,         0.32000,        -2.99998,        -2.99856,     14999.46201,         0.01744,        -0.33323,       497.93888,        -2.43310,       -37.94862 
0,         0.33000,        -2.99998,        -2.99851,     14999.42036,         0.02496,        -0.34284,       497.87477,        -2.48639,       -39.52869 
0,         0.34000,        -2.99998,        -2.99847,     14999.37755,         0.03224,        -0.35203,       497.81113,        -2.53993,       -40.99815 
0,         0.35000,        -2.99998,        -2.99842,     14999.33363,         0.03934,        -0.36089,       497.74789,        -2.59424,       -42.35740 
0,         0.36000,        -2.99998,        -2.99838,     14999.28865,         0.04630,        -0.36949,       497.68496,        -2.64968,       -43.60691 
0,         0.37000,        -2.99998,        -2.99833,     14999.24262,         0.05319,        -0.37791,       497.62229,        -2.70648,       -44.74718 
0,         0.38000,        -2.99998,        -2.99829,     14999.19557,         0.06003,        -0.38619,       497.55981,        -2.76475,       -45.77876 
0,         0.39000,        -2.99998,        -2.99825,     14999.14752,         0.06688,        -0.39438,       497.49749,        -2.82454,       -46.70226 
0,         0.40000,        -2.99998,        -2.99820,     14999.09846,         0.07376,        -0.40251,       497.43529,        -2.88587,       -47.51834 
0,         0.41000,        -2.99998,        -2.99816,     14999.04841,         0.08070,        -0.41061,       497.37317,        -2.94873,       -48.22770 
0,         0.42000,        -2.99998,        -2.99811,     14998.99737,         0.08771,        -0.41872,       497.31112,        -3.01311,       -48.83108 
0,         0.43000,        -2.99998,        -2.99807,     14998.94534,         0.09484,        -0.42685,       497.24913,        -3.07901,       -49.32928 
0,         0.44000,        -2.99998,        -2.99802,     14998.89231,         0.10210,        -0.43504,       497.18722,        -3.14640,       -49.72319 
0,         0.45000,        -2.99998,        -2.99798,     14998.83827,         0.10949,        -0.44329,       497.12536,        -3.21532,       -50.01372 
0,         0.46000,        -2.99998,        -2.99793,     14998.78322,         0.11702,        -0.45162,       497.06356,        -3.28586,       -50.20182 
0,         0.47000,        -2.99998,        -2.99789,     14998.72715,         0.12467,        -0.46003,       497.00183,        -3.35819,       -50.28845 
0,         0.48000,        -2.99998,        -2.99784,     14998.67003,         0.13180,        -0.46901,       496.95127,        -3.43277,       -50.28343 
